project,issue_key,summary,description,status,priority,predicted_agent,confidence_score
Project-2,ISSUE-4473,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Open,High,Bug Tracking,
Project-2,ISSUE-7147,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Open,High,Support,
Project-2,ISSUE-2092,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,In Progress,High,Task,
Project-5,ISSUE-6855,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Closed,Low,Improvement,
Project-1,ISSUE-6394,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,In Progress,High,Improvement,
Project-1,ISSUE-1609,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Open,Medium,Support,
Project-2,ISSUE-4364,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Closed,Medium,Bug Tracking,
Project-8,ISSUE-2541,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Open,Critical,Task,
Project-1,ISSUE-5415,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,Open,Critical,Bug Tracking,
Project-6,ISSUE-4921,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,In Progress,Low,Task,
Project-7,ISSUE-9960,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,In Progress,Critical,Support,
Project-5,ISSUE-9822,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Open,Low,Task,
Project-8,ISSUE-7688,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Closed,Medium,Feature Request,
Project-3,ISSUE-4542,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Closed,Medium,Task,
Project-7,ISSUE-4192,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,In Progress,Low,Improvement,
Project-2,ISSUE-5717,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,In Progress,Medium,Task,
Project-7,ISSUE-3868,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,In Progress,High,Bug Tracking,
Project-8,ISSUE-1197,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,In Progress,Low,Improvement,
Project-2,ISSUE-2517,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,Closed,High,Improvement,
Project-7,ISSUE-4153,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Closed,Critical,Bug Tracking,
Project-5,ISSUE-3338,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,In Progress,High,Feature Request,
Project-4,ISSUE-3984,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Open,High,Bug Tracking,
Project-10,ISSUE-4262,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,In Progress,Medium,Bug Tracking,
Project-10,ISSUE-5399,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Open,High,Improvement,
Project-3,ISSUE-6176,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,In Progress,Low,Bug Tracking,
Project-10,ISSUE-7400,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,In Progress,Medium,Task,
Project-2,ISSUE-1202,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,Open,Critical,Feature Request,
Project-2,ISSUE-9244,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,In Progress,Low,Improvement,
Project-5,ISSUE-9113,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,Closed,High,Support,
Project-9,ISSUE-5422,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,Closed,Medium,Task,
Project-8,ISSUE-2189,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Open,High,Feature Request,
Project-8,ISSUE-3499,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,In Progress,Critical,Task,
Project-9,ISSUE-1421,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Open,Low,Improvement,
Project-7,ISSUE-6702,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,Closed,Critical,Task,
Project-2,ISSUE-1216,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,In Progress,Critical,Feature Request,
Project-10,ISSUE-1964,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Closed,Medium,Bug Tracking,
Project-10,ISSUE-6928,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,Closed,Low,Improvement,
Project-5,ISSUE-8209,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Closed,Medium,Feature Request,
Project-6,ISSUE-2146,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,Open,Medium,Improvement,
Project-1,ISSUE-4710,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,In Progress,Medium,Improvement,
Project-4,ISSUE-9546,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,In Progress,High,Bug Tracking,
Project-3,ISSUE-6184,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Closed,High,Improvement,
Project-2,ISSUE-7086,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Closed,High,Support,
Project-10,ISSUE-7732,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Open,Medium,Bug Tracking,
Project-4,ISSUE-8706,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,In Progress,Medium,Task,
Project-3,ISSUE-7628,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Closed,High,Feature Request,
Project-9,ISSUE-7430,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,Closed,Low,Support,
Project-9,ISSUE-6004,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Open,High,Support,
Project-7,ISSUE-5493,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,In Progress,Critical,Support,
Project-3,ISSUE-2683,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,Open,Medium,Task,
Project-2,ISSUE-8575,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Open,Low,Bug Tracking,
Project-4,ISSUE-3197,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,In Progress,Medium,Support,
Project-9,ISSUE-9327,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,In Progress,Medium,Task,
Project-4,ISSUE-5640,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Open,High,Improvement,
Project-5,ISSUE-7503,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Closed,Medium,Bug Tracking,
Project-4,ISSUE-3542,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,In Progress,High,Feature Request,
Project-1,ISSUE-8874,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Closed,Critical,Bug Tracking,
Project-1,ISSUE-1413,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Open,Medium,Improvement,
Project-10,ISSUE-4074,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,In Progress,High,Task,
Project-3,ISSUE-7904,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Open,Critical,Improvement,
Project-1,ISSUE-2078,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,Open,Medium,Improvement,
Project-9,ISSUE-3489,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,In Progress,Medium,Bug Tracking,
Project-10,ISSUE-3285,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,In Progress,Low,Support,
Project-9,ISSUE-1076,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Open,Low,Feature Request,
Project-5,ISSUE-4336,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Closed,Low,Bug Tracking,
Project-7,ISSUE-5219,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,In Progress,High,Task,
Project-2,ISSUE-4971,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,Open,Medium,Task,
Project-1,ISSUE-5572,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,In Progress,Low,Improvement,
Project-8,ISSUE-5720,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Open,Critical,Bug Tracking,
Project-9,ISSUE-6678,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,In Progress,Low,Task,
Project-6,ISSUE-6369,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,In Progress,Medium,Improvement,
Project-6,ISSUE-5987,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,In Progress,Medium,Feature Request,
Project-1,ISSUE-2531,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Open,Medium,Support,
Project-8,ISSUE-6019,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,In Progress,Medium,Task,
Project-7,ISSUE-5866,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Open,Medium,Support,
Project-9,ISSUE-9337,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,Closed,Medium,Task,
Project-9,ISSUE-9487,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,In Progress,Low,Support,
Project-9,ISSUE-6314,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,In Progress,Critical,Bug Tracking,
Project-9,ISSUE-1600,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,Open,Critical,Improvement,
Project-1,ISSUE-9737,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Closed,High,Bug Tracking,
Project-9,ISSUE-5724,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Open,Medium,Bug Tracking,
Project-7,ISSUE-2199,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,Closed,Critical,Feature Request,
Project-6,ISSUE-1210,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,In Progress,Critical,Support,
Project-6,ISSUE-3599,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,In Progress,High,Bug Tracking,
Project-5,ISSUE-3304,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Closed,Low,Feature Request,
Project-3,ISSUE-4768,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Open,Low,Bug Tracking,
Project-1,ISSUE-3199,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,In Progress,High,Task,
Project-7,ISSUE-2176,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Closed,Critical,Task,
Project-6,ISSUE-3424,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,Closed,Critical,Support,
Project-3,ISSUE-9033,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Closed,Medium,Support,
Project-9,ISSUE-7717,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,Closed,Critical,Support,
Project-7,ISSUE-5199,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,In Progress,Medium,Improvement,
Project-3,ISSUE-3140,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Closed,Critical,Task,
Project-4,ISSUE-5426,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Open,Low,Feature Request,
Project-6,ISSUE-4327,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,In Progress,Medium,Feature Request,
